,Density,Efficiency of the LCC,# of connected components,# of communities,Fraction of nodes in the LCC,Connected components entropy,Fraction of nodes in the center in the LCC,Fraction of nodes in the periphery in the LCC,Fraction of nodes in the barycenter in the LCC,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Mean Assortativity coefficient of the LCC,Mean shortest path length of the LCC,Average eccentricity of the LCC,Average degree,Average communicability of the LCC,Average node similarity of the LCC,Average node betweenness centrality,Average edge betweenness centrality
pre3_05DIV_CS4_FOV5,0.0014699723251020357,0.2967941317941312,332.0,162.0,0.06072874493927125,0.9465957925976403,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.2786885245901639,0.05020242914979756,0.0031742683766975265,0.9539808370525255,-0.0528869480834544,0.17217598097502973,0.3103448275862069,0.7246963562753036,9.061953675118067e-05,0.0,3.431738089214907e-05,0.00012845799164463339
pre2_05DIV_CS1_FOV1,0.0029024206187960758,0.2673755344118241,186.0,136.0,0.09937888198757763,0.9073481192026273,0.03125,0.09375,0.0625,0.1793478260869565,0.05662525879917184,0.012924618798933191,0.9320666666666662,-0.2553979025293031,0.19680020811654525,0.4032258064516129,0.9316770186335404,2.1062464197133493e-05,0.0,0.0001803128809427062,0.0004934115051953338
pre3_05DIV_CS5_FOV4,0.0006022080963532954,0.8333333333333334,227.0,18.0,0.012244897959183673,0.99489807067041,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.9382716049382718,-1.0,0.6666666666666666,1.0,0.1469387755102041,0.8309927332840568,0.0,1.3767903437432452e-07,3.717333928106763e-05
pre3_05DIV_CS4_FOV4,0.0010858500169664065,0.6055555555555555,332.0,89.0,0.014251781472684086,0.9820264651873719,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.42,0.0344418052256532,0.004433887569279493,0.9739583333333329,-0.3333333333333341,0.4133333333333334,0.6,0.45605700712589076,0.1588579652017871,0.0,1.5117243672961113e-06,2.2621875353466777e-05
pre3_05DIV_CS5_FOV6,0.001001848649293339,0.4544973544973545,328.0,82.0,0.024390243902439025,0.9766419051219599,0.2,0.3,0.1,0.13333333333333333,0.00975609756097561,0.0,0.9589002267573694,-0.636363636363637,0.35061728395061725,0.6111111111111112,0.4097560975609756,0.02602027045000413,0.0,5.524900639485324e-06,5.154068306313517e-05
pre3_05DIV_CS4_FOV6,0.0017441945324245035,0.39276117854549236,309.0,215.0,0.03435114503816794,0.9357305973123107,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.24535315985130113,0.053344238458742255,0.008684586855373355,0.962264316100909,0.09685863874345589,0.22106881968473663,0.4117647058823529,0.9122137404580153,0.005602233991558113,0.0,2.1837732727737505e-05,7.343687698886447e-05
pre2_05DIV_CS1_FOV2,0.002277461463685599,0.23825427018449075,241.0,139.0,0.10263157894736842,0.9092306518337507,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.2903225806451613,0.062017543859649124,0.012481528935822566,0.9216798036882801,-0.15429917550058958,0.186305845585624,0.3684210526315789,0.8631578947368421,8.210933086390539e-07,0.0,0.00018780460385792977,0.0005276198089018806
pre2_05DIV_CS1_FOV3,0.0019375512333258812,0.2773100283020912,294.0,274.0,0.04929577464788732,0.9213518220959778,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.2608695652173913,0.08069248826291081,0.017807097205081217,0.9691455046022341,-0.1071428571428564,0.21585341955712328,0.42592592592592593,1.0985915492957747,5.701791687891829e-05,0.0,3.517593806085653e-05,8.893181819629387e-05
pre3_05DIV_CS5_FOV3,0.0008395654925666163,0.619047619047619,332.0,62.0,0.017766497461928935,0.9825178942724636,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.20930232558139536,0.013959390862944163,0.0,0.9538461538461531,-0.49180327868852397,0.3253968253968254,0.5,0.3299492385786802,0.11025705273518585,0.0,2.0428987652719857e-06,3.477490205897225e-05
pre3_05DIV_CS4_FOV3,0.0011697137710402264,0.6349206349206349,326.0,88.0,0.016908212560386472,0.9762069758002361,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.4074074074074074,0.052737520128824475,0.010305958132045089,0.9616000000000003,-0.16363636363636364,0.3333333333333333,0.5,0.4830917874396135,0.15588512201052937,0.2886751345948129,3.0662399823384582e-06,3.298592834333442e-05
pre3_05DIV_CS4_FOV2,0.002688134275585278,0.12316035638033303,208.0,446.0,0.22477064220183487,0.7108475248564543,0.006802721088435374,0.027210884353741496,0.006802721088435374,0.2722558340535869,0.14807048201543602,0.0265370930844866,0.9350256164333669,0.1978453391764827,0.09878753528057874,0.2054794520547945,1.7553516819571866,4.150325916274511e-16,0.0,0.0013042243575328333,0.0016180483598192163
pre3_05DIV_CS5_FOV2,0.0014365152919369787,0.41652276295133456,297.0,119.0,0.03365384615384615,0.9612910892179659,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.15151515151515152,0.015224358974358972,0.0,0.9585067637877192,0.14772727272727204,0.26204564666103125,0.46153846153846156,0.5961538461538461,0.00943324300240179,0.0,1.2004539898725337e-05,7.062991419773389e-05
pre2_05DIV_CS1_FOV4,0.0021037066908626543,0.3476817042606515,268.0,278.0,0.03663003663003663,0.9182600166776249,0.1,0.2,0.05,0.2473404255319149,0.09096459096459097,0.008288329895472754,0.9705314946564707,-0.20155038759689856,0.21772853185595567,0.39473684210526316,1.1465201465201464,0.0014136754089869668,0.0,3.08380232827076e-05,7.996614966747159e-05
pre3_05DIV_CS5_FOV1,0.0014885699096225413,0.45091991341991366,322.0,173.0,0.024242424242424242,0.9495942762497447,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.1437125748502994,0.021548821548821546,0.005054914221580889,0.9681801714768735,0.07650273224043697,0.2892561983471074,0.5454545454545454,0.7353535353535353,0.017555618081452937,0.0,1.3122827257555558e-05,5.9904108487104534e-05
pre1_05DIV_CS1_FOV1,0.0028283265934912383,0.19056401428374597,205.0,372.0,0.12824956672443674,0.7797112994336258,0.013513513513513514,0.04054054054054054,0.013513513513513514,0.2803114571746385,0.1385326400924322,0.02981434510786506,0.9326437301946586,0.08112449799196784,0.11652711070988421,0.2328767123287671,1.6291161178509532,3.6482898819123323e-09,0.0,0.0005018356650675242,0.0007072993104465512
pre3_05DIV_CS4_FOV1,0.001510922378350868,0.4018617724867725,332.0,170.0,0.03187250996015936,0.9503790525253863,0.125,0.1875,0.0625,0.25,0.05205843293492696,0.010422084730115765,0.9640443213296386,0.23809523809523833,0.245,0.4666666666666667,0.7569721115537849,0.010173479218784143,0.0,1.4218574802586066e-05,6.08554331889795e-05
pre3_05DIV_CS2_FOV3,0.0010542168674698795,0.5595238095238094,327.0,89.0,0.016826923076923076,0.9801820766960294,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.011217948717948716,0.0,0.9737954353338969,0.0,0.38095238095238093,0.5,0.4375,0.1567738753511267,0.0,2.2386088389231394e-06,2.8771043599588552e-05
pre3_05DIV_CS2_FOV2,0.000650315867707172,0.8333333333333334,194.0,14.0,0.014423076923076924,0.9945595373006713,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.9081632653061226,-1.0,0.6666666666666666,1.0,0.1346153846153846,0.8309927332840569,0.0,4.509818777442247e-07,5.9722885809842315e-05
pre3_05DIV_CS2_FOV1,0.0007346842042896078,0.8333333333333334,260.0,31.0,0.010309278350515464,0.9920819555419106,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.9573361082206039,-1.0,0.6666666666666666,1.0,0.21305841924398625,0.8309927332840569,0.0,4.1002578652171437e-07,3.134448738384383e-05
pre3_05DIV_CS3_FOV1,0.001302282825187682,0.58962962962963,319.0,109.0,0.02336448598130841,0.971759711206773,0.4,0.2,0.2,0.3157894736842105,0.03473520249221184,0.004746486952735068,0.9623614151542951,-0.17647058823529382,0.23950617283950615,0.4444444444444444,0.5560747663551402,0.08015496371632533,0.27343701217098704,5.137818381613926e-06,4.0003744718356145e-05
pre3_05DIV_CS2_FOV4,0.00191196641589426,0.2654579950632577,292.0,199.0,0.07739307535641547,0.9259090761267158,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.26732673267326734,0.0655804480651731,0.014166721245952613,0.950576559546312,0.30291627469426124,0.1671600476721387,0.32432432432432434,0.9368635437881874,6.724466866830916e-06,0.0,7.095712474386627e-05,0.00019296765017881782
pre3_05DIV_CS3_FOV4,0.0006876790830945558,0.8333333333333334,309.0,41.0,0.011428571428571429,0.991933424576618,0.25,0.75,0.25,0.375,0.006666666666666666,0.0,0.9659863945578239,-0.7142857142857143,0.4444444444444444,0.6666666666666666,0.24,0.6154660475392851,0.408248290463863,2.3524872848062255e-07,2.027171900278738e-05
pre2_05DIV_CS2_FOV4,0.0022251429625530345,0.3954717240431527,248.0,169.0,0.05275779376498801,0.9374553696701017,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.2894736842105263,0.08161470823341328,0.012788769354945493,0.9539048028134977,0.04395604395604426,0.16305916305916307,0.30952380952380953,0.9256594724220624,0.004028364365289406,0.0,3.0476082526008838e-05,0.00010394235428715616
