,Density,Efficiency,# of connected components,# of cluster,Fraction of nodes in the largest connected component,Connected components entropy,Fraction of nodes in the center,Fraction of nodes in the periphery,Fraction of nodes in the barycenter,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Assortativity coefficient analysis,Shortest path length analysis,Average eccentricity,Average degree,Average communicability,Average node similarity,Average node betweenness centrality,Average edge betweenness centrality
pre3_05DIV_CS4_FOV5,0.0433013208679485,0.281235014831851,0.9588235294117646,0.2573913043478261,0.05195703234091369,0.9481207888278108,0.05240950477459472,0.17313573276876026,0.07942597328786587,0.663544106167057,0.1329586142485441,0.03284939950064625,0.9150172130167076,0.7182791176441895,0.23248659041275443,0.27972070802964416,0.0,0.00010904973427744828,0.0,0.0009153051211611611,0.003833775418147031
pre2_05DIV_CS1_FOV1,0.11478030229753536,0.24182492578243642,0.5294117647058822,0.21217391304347827,0.09178582380709403,0.9059667038173806,0.0489257161892072,0.12005998588567396,0.152653452685422,0.42701863354037267,0.14996915625214172,0.1337523850965093,0.8217959580786593,0.5646972518064205,0.27070657125102043,0.37672606428694205,0.14130434782608695,2.534614726873902e-05,0.0,0.0048249480261463905,0.01673123355356598
pre3_05DIV_CS5_FOV4,0.0,1.0,0.6499999999999999,0.006956521739130438,0.0019946472545528497,0.9999999999999999,0.5540750610703975,0.8882615855092918,0.8326229042341574,0.0,0.0,0.0,0.8481913051215684,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0006077755618617682
pre3_05DIV_CS4_FOV4,0.024133668219830512,0.6948616418028566,0.9588235294117646,0.13043478260869568,0.00406273164080539,0.9861752123166195,0.2753719742393959,0.4413079275464596,0.414180164819551,1.0,0.09121739271533995,0.04588476046116321,0.9999999999999996,0.5055919608827434,0.6067939476821227,0.5822380106571936,0.0,0.19116649140117678,0.0,3.679583675610166e-05,9.352678812248397e-05
pre3_05DIV_CS5_FOV6,0.01994201102257214,0.4924992695257731,0.9470588235294117,0.11826086956521739,0.014510371332166013,0.9803919089228957,0.3311125916055963,0.3966125617501764,0.24680306905370847,0.31746031746031744,0.02583853479102313,0.0,0.9359439318356313,0.2757774332087689,0.5094505390186325,0.5938425103611605,0.0,0.03131227194631749,0.0,0.00014426549255772752,0.0011155175291702843
pre3_05DIV_CS4_FOV6,0.05698497294186388,0.4097955239931435,0.8911764705882352,0.34956521739130436,0.0247750349129015,0.9364509922234877,0.2753719742393959,0.21783109856504349,0.13521833854314672,0.5841741901221456,0.14127953853497668,0.08987376908786338,0.9502545183103464,0.8318443649602216,0.308374590790354,0.38564413331940234,0.08683206106870228,0.006741616102247007,0.0,0.0005811101090833391,0.0018893290804950958
pre2_05DIV_CS1_FOV2,0.08359492266530305,0.20281315368751773,0.6911764705882353,0.2173913043478261,0.09513771331662588,0.9079886438128701,0.039546285382394644,0.09749742142120406,0.06011323146873018,0.6912442396313364,0.16425035262881305,0.1291670021985608,0.7776110136036674,0.6413693072682153,0.2544179652153249,0.340375806300832,0.0,9.880872307153578e-07,0.0,0.0050255703832154525,0.017940155097152077
pre2_05DIV_CS1_FOV3,0.06663344688250009,0.2551334898784174,0.8470588235294118,0.45217391304347826,0.04017540815144605,0.9210074242260995,0.11611306747882365,0.09013005343280571,0.08540372670807453,0.6211180124223602,0.21371000569893325,0.18427945611994287,0.9795265836572837,0.6771320904679612,0.3002796162031027,0.40043418196171304,0.0801056338028169,6.861421838614819e-05,0.0,0.0009382965965285454,0.0024369203438022115
pre3_05DIV_CS5_FOV3,0.01184410284880473,0.7129360393267291,0.9588235294117646,0.08347826086956522,0.0076846305754332805,0.9867030332455459,0.47444560769011135,0.9521121080754107,0.35440263061746435,0.49833887043189373,0.03697074616355149,0.0,0.9144442806493838,0.38541026526307576,0.4703051300229095,0.477797513321492,0.0,0.1326811274262934,0.0,5.102026295853277e-05,0.0005230147840809336
pre3_05DIV_CS4_FOV3,0.028318458516588256,0.7342000364136381,0.9411764705882353,0.12869565217391304,0.006800171865251196,0.979924771739579,0.2355572475492529,0.5690089726786973,0.7130678358299841,0.9700176366843033,0.13967267548569365,0.10665277655845251,0.9474285669048474,0.6342880963801697,0.4826236153712139,0.477797513321492,0.0,0.18758903148824932,0.7071067811865476,7.842452355079352e-05,0.0004597924482324028
pre3_05DIV_CS4_FOV2,0.10408744195876612,0.048629684872806486,0.5941176470588235,0.751304347826087,0.22100146573118346,0.6949146326461714,0.008044523605578141,0.030840282478552458,0.012816720891255053,0.6482281763180641,0.3921572408606393,0.2746231474054102,0.8343831108521211,0.9084314608027401,0.11857824429199126,0.17019878829168592,0.13914373088685014,4.226370630121282e-16,0.0,0.03492239985692489,0.056475902974444686
pre3_05DIV_CS5_FOV2,0.041631819313985276,0.4416272984730722,0.8558823529411764,0.18260869565217394,0.024056471565544114,0.9639043176182184,0.11611306747882365,0.18590583728198404,0.17507002801120447,0.36075036075036077,0.04032095072557495,0.0,0.9342701695550333,0.8704225235651779,0.37197591857401785,0.43762809126929914,0.0,0.011351775562611542,0.0,0.0003177850575304754,0.0017901310080226246
pre2_05DIV_CS1_FOV4,0.07492458235732252,0.3494056259711921,0.7705882352941176,0.45913043478260873,0.02712342239398928,0.9176866610529756,0.16389073950699537,0.2625264643613267,0.12127024722932653,0.5889057750759878,0.24091515420995163,0.08577304361794298,0.9854224825169076,0.6055345578014264,0.3031900326689313,0.367860147704964,0.08333333333333333,0.0017011886534796794,0.0,0.0008221307028609494,0.0021200735942490953
pre3_05DIV_CS5_FOV1,0.044229337889176025,0.48770681563686774,0.9294117647058823,0.2765217391304348,0.014358043840908425,0.9513413194692338,0.13602043082389517,0.21783109856504349,0.2049587951122478,0.3421727972626176,0.05707097246771438,0.05231154930855795,0.9754201281631958,0.816406690933611,0.4142102091393083,0.5252704666559018,0.0,0.02112607893943143,0.0,0.00034773189997884687,0.001411081005802927
pre1_05DIV_CS1_FOV1,0.11108302018122951,0.13892576954703284,0.5852941176470587,0.6226086956521739,0.12153693388551443,0.7688779827395315,0.019266434989286426,0.048713498254782654,0.029665215087209977,0.6674082313681869,0.366896745173861,0.30853828885046475,0.8242507435125237,0.8199117823471967,0.1461123564933824,0.1988126231781795,0.07885615251299827,4.390278845965529e-09,0.0,0.013435071429329292,0.024290029157601124
pre3_05DIV_CS4_FOV1,0.04534472313845244,0.4219869691857044,0.9588235294117646,0.271304347826087,0.022220812672515182,0.9521842108555488,0.20569620253164558,0.24576570218772054,0.152653452685422,0.5952380952380952,0.13787414713191357,0.10785453033600907,0.9578265284889986,0.938956498782239,0.3455188734445856,0.4429840142095915,0.0,0.012242560989166311,0.0,0.000377075144213087,0.0014447008232866617
pre3_05DIV_CS2_FOV3,0.022555178221011357,0.6331960502508205,0.9441176470588235,0.13043478260869568,0.0067164034201041434,0.9841942411524488,0.2355572475492529,0.5690089726786973,0.35440263061746435,0.3401360544217687,0.029710174218844698,0.0,0.9993070439963296,0.7583879413241159,0.5565345274610405,0.477797513321492,0.0,0.1886585394454188,0.0,5.6261222444403245e-05,0.0003108384102257887
pre3_05DIV_CS2_FOV2,0.0024005714624119184,1.0,0.5529411764705882,0.0,0.004239250827898434,0.9996363971870837,0.5540750610703975,0.8882615855092918,0.8326229042341574,0.0,0.0,0.0,0.7201126621618039,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,8.389999953893475e-06,0.0014046765959085327
pre3_05DIV_CS2_FOV1,0.00661054035997629,1.0,0.7470588235294117,0.029565217391304348,0.0,0.9969753428354554,0.5540750610703975,0.8882615855092918,0.8326229042341574,0.0,0.0,0.0,0.9292902876272593,0.0,1.0,1.0,0.0,0.9999999999999999,0.0,7.293228536907569e-06,0.0004017839203768386
